[2017-01-26 11:58:27,898] [INFO] {'msgtype': 'news', 'news': {'articles': [{'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//12312', 'description': '2017-01-26 11:58:27\nID 12312', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/12312/'}]}, 'agentid': 1, 'toparty': 9}
[2017-01-28 10:26:45,536] [INFO] {'agentid': 1, 'toparty': 4, 'news': {'articles': [{'title': '您有新的报警', 'description': '2017-01-28 10:26:45\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.103 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.103 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545738', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545738/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545738'}]}, 'msgtype': 'news'}
[2017-01-28 10:27:16,423] [INFO] {'agentid': 1, 'news': {'articles': [{'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'description': '2017-01-28 10:27:16\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739'}]}, 'msgtype': 'news', 'toparty': 3}
[2017-01-28 10:27:17,291] [INFO] {'toparty': 3, 'agentid': 1, 'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'description': '2017-01-28 10:27:16\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'title': '您有新的报警'}]}}
[2017-01-28 10:27:18,150] [INFO] {'toparty': 4, 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545740/', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545740', 'description': '2017-01-28 10:27:17\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.104 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.104 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545740'}]}, 'agentid': 1, 'msgtype': 'news'}
[2017-01-28 10:27:49,101] [INFO] {'toparty': 4, 'agentid': 1, 'news': {'articles': [{'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545741/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545741', 'description': '2017-01-28 10:27:48\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.105 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.105 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545741'}]}, 'msgtype': 'news'}
[2017-01-28 10:27:49,967] [INFO] {'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545742/', 'description': '2017-01-28 10:27:49\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.106 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.106 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545742', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545742', 'title': '您有新的报警'}]}, 'agentid': 1, 'toparty': 4, 'msgtype': 'news'}
[2017-01-28 10:28:20,883] [INFO] {'msgtype': 'news', 'toparty': 3, 'agentid': 1, 'news': {'articles': [{'description': '2017-01-28 10:28:20\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'title': '您有新的报警'}]}}
[2017-01-28 10:28:21,767] [INFO] {'agentid': 1, 'msgtype': 'news', 'toparty': 3, 'news': {'articles': [{'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743', 'description': '2017-01-28 10:28:21\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743'}]}}
[2017-01-28 10:28:22,714] [INFO] {'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545744/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545744', 'description': '2017-01-28 10:28:22\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.107 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.107 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545744', 'title': '您有新的报警'}]}, 'toparty': 4, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:28:53,599] [INFO] {'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545745', 'title': '您有新的报警', 'description': '2017-01-28 10:28:53\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.108 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.108 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545745', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545745/'}]}, 'msgtype': 'news', 'agentid': 1, 'toparty': 4}
[2017-01-28 10:36:54,581] [INFO] {'toparty': 3, 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'title': '您有新的报警', 'description': '2017-01-28 10:36:54\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739'}]}, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:36:55,435] [INFO] {'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'description': '2017-01-28 10:36:55\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'title': '您有新的报警'}]}, 'agentid': 1, 'toparty': 3}
[2017-01-28 10:38:26,349] [INFO] {'news': {'articles': [{'description': '2017-01-28 10:38:25\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743'}]}, 'msgtype': 'news', 'agentid': 1, 'toparty': 3}
[2017-01-28 10:38:27,219] [INFO] {'toparty': 3, 'msgtype': 'news', 'news': {'articles': [{'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743', 'description': '2017-01-28 10:38:26\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/'}]}, 'agentid': 1}
[2017-01-28 10:46:58,163] [INFO] {'agentid': 1, 'news': {'articles': [{'title': '您有新的报警', 'description': '2017-01-28 10:46:57\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/'}]}, 'msgtype': 'news', 'toparty': 3}
[2017-01-28 10:46:59,038] [INFO] {'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'description': '2017-01-28 10:46:58\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'title': '您有新的报警'}]}, 'toparty': 3, 'agentid': 1}
[2017-01-28 10:47:59,919] [INFO] {'toparty': 3, 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743', 'description': '2017-01-28 10:47:59\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'title': '您有新的报警'}]}, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:48:00,795] [INFO] {'news': {'articles': [{'description': '2017-01-28 10:48:00\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.112 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.112 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545743', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545743/', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545743'}]}, 'agentid': 1, 'toparty': 3, 'msgtype': 'news'}
[2017-01-28 10:56:01,754] [INFO] {'agentid': 1, 'msgtype': 'news', 'news': {'articles': [{'description': '2017-01-28 10:56:01\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.101 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.101 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545735', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545735', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545735/'}]}, 'toparty': 2}
[2017-01-28 10:56:02,620] [INFO] {'agentid': 1, 'msgtype': 'news', 'toparty': 4, 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545735/', 'description': '2017-01-28 10:56:02\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.101 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.101 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545735', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545735'}]}}
[2017-01-28 10:56:03,506] [INFO] {'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545736', 'title': '您有新的报警', 'description': '2017-01-28 10:56:03\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.109 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.109 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545736', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545736/'}]}, 'toparty': 2, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:56:04,371] [INFO] {'agentid': 1, 'toparty': 4, 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545736', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545736/', 'description': '2017-01-28 10:56:04\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.109 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.109 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545736', 'title': '您有新的报警'}]}, 'msgtype': 'news'}
[2017-01-28 10:56:35,283] [INFO] {'toparty': 2, 'agentid': 1, 'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545737', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545737/', 'title': '您有新的报警', 'description': '2017-01-28 10:56:34\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.110 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.110 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545737'}]}}
[2017-01-28 10:56:36,151] [INFO] {'toparty': 4, 'msgtype': 'news', 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545737', 'title': '您有新的报警', 'description': '2017-01-28 10:56:35\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.110 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.110 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545737', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545737/'}]}, 'agentid': 1}
[2017-01-28 10:56:36,993] [INFO] {'toparty': 2, 'msgtype': 'news', 'agentid': 1, 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545738/', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545738', 'description': '2017-01-28 10:56:36\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.103 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.103 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545738'}]}}
[2017-01-28 10:56:37,871] [INFO] {'msgtype': 'news', 'news': {'articles': [{'description': '2017-01-28 10:56:37\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.103 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.103 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545738', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545738', 'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545738/'}]}, 'toparty': 4, 'agentid': 1}
[2017-01-28 10:57:08,757] [INFO] {'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'title': '您有新的报警', 'description': '2017-01-28 10:57:08\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739'}]}, 'agentid': 1, 'msgtype': 'news', 'toparty': 2}
[2017-01-28 10:57:09,626] [INFO] {'toparty': 3, 'agentid': 1, 'news': {'articles': [{'description': '2017-01-28 10:57:09\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739'}]}, 'msgtype': 'news'}
[2017-01-28 10:57:10,503] [INFO] {'agentid': 1, 'news': {'articles': [{'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545739', 'title': '您有新的报警', 'description': '2017-01-28 10:57:10\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.111 dsp_web\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.111 dsp_web\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545739', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545739/'}]}, 'msgtype': 'news', 'toparty': 3}
[2017-01-28 10:57:11,356] [INFO] {'msgtype': 'news', 'agentid': 1, 'toparty': 2, 'news': {'articles': [{'description': '2017-01-28 10:57:11\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.104 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.104 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545740', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545740', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545740/'}]}}
[2017-01-28 10:57:12,243] [INFO] {'news': {'articles': [{'title': '您有新的报警', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545740/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545740', 'description': '2017-01-28 10:57:11\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.104 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.104 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545740'}]}, 'toparty': 4, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:57:43,115] [INFO] {'toparty': 2, 'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545741/', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545741', 'title': '您有新的报警', 'description': '2017-01-28 10:57:42\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.105 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.105 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545741'}]}, 'msgtype': 'news', 'agentid': 1}
[2017-01-28 10:57:43,991] [INFO] {'agentid': 1, 'toparty': 4, 'news': {'articles': [{'description': '2017-01-28 10:57:43\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.105 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.105 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545741', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545741', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545741/'}]}, 'msgtype': 'news'}
[2017-01-28 10:58:14,863] [INFO] {'news': {'articles': [{'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545742/', 'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545742', 'description': '2017-01-28 10:58:14\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.106 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.106 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545742'}]}, 'msgtype': 'news', 'toparty': 2, 'agentid': 1}
[2017-01-28 10:58:15,835] [INFO] {'toparty': 4, 'agentid': 1, 'news': {'articles': [{'title': '您有新的报警', 'picurl': 'http://zabbix.tansuotv.cn/wx_api/img//545742', 'url': 'http://zabbix.tansuotv.cn/wx_api/alert_detail/545742/', 'description': '2017-01-28 10:58:15\n报警信息如下:\r\n\r\n触发器       :  Ping_ loss rate is high on server 123.59.101.106 hadoop_data\r\n触发器状态:  PROBLEM\r\n触发器级别:  Disaster\r\n服务器      ： 123.59.101.106 hadoop_data\r\n检测项目   ： ping_lost_rate \r\n检测结果   ： 1\r\n事件ID       :  545742'}]}, 'msgtype': 'news'}
